id	title	creator	pubd	pages	bc
in.ernet.dli.2015.381945	ಶ್ರೀ ವಿಠ್ಠಲ ದಾಸರ ಕೃತಿಗಳು	ಕೆ. ಅಪ್ಪಣ್ಣಾಚಾರ್ಯ	1997-01-01T00:00:00Z	70	02040100030252
in.ernet.dli.2015.381946	ಶ್ರೀ ನರಸಿಂಹ ಸಹಸ್ರ ನಾಮಾವಳಿ ಭಾಗ ೧	ನರಸಿಂಹ ಮೂರ್ತಿ ಎಚ್. ಎನ್.	1995-01-01T00:00:00Z	364	02040100030254
in.ernet.dli.2015.381947	ಶ್ರೀ ರಾಮಾಯಣ ನಿತ್ಯ ಚಿಂತನ	ಅಮಿಕತ್ರ	1997-01-01T00:00:00Z	177	99049990030255
in.ernet.dli.2015.381948	ಶ್ರೀ ತ್ಯಾಗರಾಜ ವಿಜಯ	ಸಂಪತ್ ಕುಮಾರಾಚಾರ್ಯ ವಿ. ಎಸ್.	1998-01-01T00:00:00Z	118	99049990030256
in.ernet.dli.2015.381949	ಶ್ರೀ ಉತ್ತನೋರಿನ ಋಷಿ ಕುಲೋತ್ತಮ	ಶ್ರೀನಿವಾಸ ರಾವ್ ಕೆ. ವಿ.	1996-01-01T00:00:00Z	351	99049990030257
in.ernet.dli.2015.381950	ಶ್ರೀ ವರದರಾಜಸ್ತವ:	ನಾಗರಾಜ ರಾವ್ ಎಚ್.ವಿ.	1997-01-01T00:00:00Z	95	99049990030258
in.ernet.dli.2015.381951	ಪ್ರಾಯಾಶ್ಚಿತ ವಿಧಿ ಸಂಗ್ರಹ	ರಾಮಶೇಷ ದೀಕ್ಷಿತ್	1998-01-01T00:00:00Z	117	99049990002484
in.ernet.dli.2015.381952	ತಿರುಪ್ಪಾವೈ ಸಂದೇಶ	ಎಂ. ಡಿ. ವೇದವಲ್ಲಿ	1999-01-01T00:00:00Z	292	02040100030260
in.ernet.dli.2015.381953	ವೈಷ್ಣವ ಕ್ಷೇತ್ರ ದರ್ಶನ	ರಘೋತ್ತಮ ತೀರ್ಥರು	1999-01-01T00:00:00Z	203	02990100030261
in.ernet.dli.2015.381962	ಪುರಂದರದಾಸರ ಪದಗಳು	ವಸಂತ ಭಾರಧ್ವಾಜ ಕೆ	1999-01-01T00:00:00Z	80	02990100002485
in.ernet.dli.2015.381973	Rigveda Parichaya Mandala Volume 2,3 And 4	Surya Narayana	1998-01-01T00:00:00Z	120	02040100002486
in.ernet.dli.2015.381978	ಆದಿಪರ್ವ	ಕೆ. ಆರ್. ಶೇಷಗಿರಿ	1971-01-01T00:00:00Z	321	02040100046813
in.ernet.dli.2015.381979	ಅರ್ಥಭಾವ	ಕೃಷ್ಣ ಶರ್ಮ ಆರ್.	1974-01-01T00:00:00Z	347	02040100046814
in.ernet.dli.2015.381980	ಆತ್ಮಾಹುತಿ	ಶಿವರಾಮು	1999-01-01T00:00:00Z	349	02040100046815
in.ernet.dli.2015.381981	ಅಭಿಧಾನ ವಾಸ್ತು ಕೋಶ	ನಾಗವರ್ಮ	1933-01-01T00:00:00Z	311	02040100046816
in.ernet.dli.2015.381982	ಆದಿಕವಿ ವಾಲ್ಮೀಕಿ	ಎಂ ವೆಂಕಟೇಶ ಅಯ್ಯಂಗಾರ್	1955-01-01T00:00:00Z	271	02040100046817
in.ernet.dli.2015.381983	ಆಧ್ಯಾತ್ಮ ಮಾಲಾ ಭಾಗ ೧	ರಘುಪತಿ ವಿಠ್ಠಲ		104	02040100046818
in.ernet.dli.2015.381984	ಋಗ್ವೇದನಾಮ	ಜನಾರ್ದನ ಆರ್. ಎಸ್.	1995-01-01T00:00:00Z	141	02990100002487
in.ernet.dli.2015.381985	ಅದ್ವೈತ ಸಿದ್ಧಿ	ವಿ. ಸುಬ್ಬಯ್ಯ ಶಾಸ್ತ್ರಿ	1979-01-01T00:00:00Z	110	02040100046819
in.ernet.dli.2015.381986	ಆದ್ಯಾತ್ಮ ವಿದ್ಯೆ	‍ಸ್ವಾಮಿ ಶಿವಾನಂದ	1970-01-01T00:00:00Z	383	02040100046820
in.ernet.dli.2015.381987	ಅಗಸ್ತ್ಯ	ಕೆ. ಎಸ್. ನಾರಾಯಣಾಚಾರ್ಯ	1997-01-01T00:00:00Z	445	02040100046821
in.ernet.dli.2015.381988	ಅಕ್ಷರಮಾಲ ೧	ಎಂ. ಹರಿದಾಸ		64	02040100046822
in.ernet.dli.2015.381989	ಅಮರಕೋಶ	‍ಎನ್. ಬಾಲಸುಬ್ರಮಣ್ಯ	1970-01-01T00:00:00Z	444	02040100046823
in.ernet.dli.2015.381990	ಅಮೃತ	ವೆಂಕಟೇಶಾಚಾರ್ಯ	2001-01-01T00:00:00Z	335	02040100046824
in.ernet.dli.2015.381991	ಆಹ್ನಿಕಮಂಜರಿ	ಶ್ರೀರಂಗ	1982-01-01T00:00:00Z	156	02040100046825
in.ernet.dli.2015.381992	ಅನುಭಾಷ್ಯಂ	ಮಧ್ವಾಚಾರ್ಯ	1980-01-01T00:00:00Z	167	02040100046826
